# region_index,r_pred
00,6.2369823
01,4.8423367
02,3.039703
03,1.9498861
04,1.3452787
05,0.9423137
06,0.76932335
07,0.26337814
08,0.0
09,0.3296926
010,0.3044784
011,0.47093987
012,0.57030654
013,0.36974216
014,1.7925656
015,1.7743498
016,2.0530257
017,2.2752886
018,2.2918406
019,2.459881
10,5.73923
11,4.261537
12,2.6062815
13,2.1403556
14,1.2254832
15,0.8071594
16,0.40858388
17,0.22848058
18,0.4546678
19,0.9681325
110,0.63160753
111,0.37946463
112,0.46191573
113,1.6357907
114,1.7122983
115,1.8979967
116,2.0033088
117,1.7474217
118,1.3402121
119,1.6247476
20,5.6131716
21,3.348619
22,2.321888
23,1.8822695
24,1.3481363
25,0.69252753
26,0.6147132
27,0.73580766
28,0.80131686
29,0.46801114
210,0.6566913
211,0.5518677
212,1.7325244
213,0.96863055
214,2.205503
215,2.1246443
216,2.034159
217,2.1972952
218,1.6713529
219,2.0447676
30,4.184144
31,3.0616999
32,3.0004287
33,1.7726237
34,1.2172885
35,1.1198804
36,0.97478235
37,0.34749913
38,0.36744475
39,0.9094237
310,1.7851368
311,2.143035
312,2.3272
313,3.2603526
314,3.5213776
315,3.1146488
316,2.8833442
317,2.5644317
318,2.8593142
319,2.87315
40,5.9279804
41,1.9218124
42,2.1375186
43,2.3517177
44,1.5985587
45,0.99629164
46,1.5440173
47,2.2119799
48,2.0201457
49,2.9560351
410,4.8317027
411,5.335534
412,6.3263083
413,5.648655
414,5.5683546
415,4.2685175
416,4.605122
417,4.1943145
418,2.7416544
419,2.7852383
50,4.535387
51,2.9137635
52,2.2375832
53,2.1595006
54,2.153244
55,1.774775
56,1.9204545
57,3.5321856
58,4.043924
59,6.3485312
510,6.324297
511,6.9137497
512,7.235873
513,6.8219357
514,6.919323
515,5.8782043
516,4.452689
517,3.184903
518,2.7754772
519,2.629022
60,4.233168
61,1.8274353
62,2.459973
63,2.4651747
64,2.4690554
65,4.1365366
66,4.2719946
67,5.997907
68,7.396385
69,9.182911
610,8.590836
611,9.325409
612,9.437337
613,8.768041
614,8.376555
615,6.324212
616,3.6976678
617,3.5916913
618,2.8404684
619,2.6817954
70,2.7819376
71,1.3423537
72,1.8371916
73,2.5214682
74,3.7967992
75,4.58953
76,5.892645
77,7.1987
78,8.187259
79,9.317585
710,9.201794
711,9.754977
712,9.573023
713,9.413061
714,9.014524
715,8.065295
716,6.984332
717,6.6002564
718,3.0555763
719,2.8490694
80,1.086532
81,0.6281359
82,1.677937
83,2.3639128
84,4.2150526
85,5.9695196
86,7.852438
87,7.341529
88,8.474687
89,9.216818
810,8.385501
811,9.222312
812,9.270371
813,8.829895
814,7.944765
815,7.3855257
816,7.430068
